stn_no,lat,long,Ave_NDVI,Rainfal
1,-5.447823,142.132202,0.891306,3893.864258
2,-5.364489,142.215535,0.871711,3961.105957
3,-5.447823,142.215535,0.859606,3899.93042
4,-5.531156,142.215535,0.888914,3893.388672
5,-5.614489,142.298868,0.843311,3930.189941
6,-5.531156,142.298868,0.8231,3871.42041
7,-5.447823,142.298868,0.835906,3878.569824
8,-5.364489,142.298868,0.82912,3944.409424
9,-5.114489,142.298868,0.853269,3922.830566
10,-5.031156,142.382202,0.838154,3783.414063
11,-5.114489,142.382202,0.841854,3848.551025
12,-5.197823,142.382202,0.882429,3901.227051
13,-5.281156,142.382202,0.836254,3906.210938
14,-5.364489,142.382202,0.853134,3859.019775
15,-5.447823,142.382202,0.839171,3823.42627
16,-5.531156,142.382202,0.799103,3817.796631
17,-5.614489,142.382202,0.83956,3856.193359
18,-5.697823,142.382202,0.838597,3906.566895
19,-5.781156,142.465535,0.839229,3778.011475
20,-5.697823,142.465535,0.824351,3774.930176
21,-5.614489,142.465535,0.829183,3757.503174
22,-5.531156,142.465535,0.799903,3743.451416
23,-5.447823,142.465535,0.847571,3731.376709
24,-5.364489,142.465535,0.821669,3752.680176
25,-5.281156,142.465535,0.868146,3771.912598
26,-5.197823,142.465535,0.849511,3770.073975
27,-5.114489,142.465535,0.873611,3745.851074
28,-5.031156,142.465535,0.884057,3710.220703
29,-5.031156,142.548868,0.879871,3630.972412
30,-5.114489,142.548868,0.874691,3661.417725
31,-5.197823,142.548868,0.881971,3668.809814
32,-5.281156,142.548868,0.87354,3669.573242
33,-5.364489,142.548868,0.854371,3665.591553
34,-5.447823,142.548868,0.835637,3658.618408
35,-5.531156,142.548868,0.838563,3654.604736
36,-5.614489,142.548868,0.851923,3672.49585
37,-5.697823,142.548868,0.81518,3672.49707
38,-5.781156,142.548868,0.758751,3673.379395
39,-5.864489,142.548868,0.807783,3669.76001
40,-6.781156,142.632202,0.872506,4026.739258
41,-6.697823,142.632202,0.88304,4008.902832
42,-6.614489,142.632202,0.874617,3936.16626
43,-6.531156,142.632202,0.888263,3839.21582
44,-6.447823,142.632202,0.8724,3757.144775
45,-6.364489,142.632202,0.883771,3720.447266
46,-6.281156,142.632202,0.860603,3703.140137
47,-6.197823,142.632202,0.870263,3678.480957
48,-6.114489,142.632202,0.869731,3653.780273
49,-6.031156,142.632202,0.8834,3630.024414
50,-5.947823,142.632202,0.8729,3619.568115
51,-5.864489,142.632202,0.806077,3618.416748
52,-5.781156,142.632202,0.845886,3619.165283
53,-5.697823,142.632202,0.81706,3617.663086
54,-5.614489,142.632202,0.80308,3601.828369
55,-5.531156,142.632202,0.842303,3599.799072
56,-5.447823,142.632202,0.858537,3605.563721
57,-5.364489,142.632202,0.88302,3616.599365
58,-5.281156,142.632202,0.8908,3624.373291
59,-5.197823,142.632202,0.897086,3623.770996
60,-5.114489,142.632202,0.871429,3605.826172
61,-5.031156,142.632202,0.897691,3587.381836
62,-5.031156,142.715535,0.879671,3556.359863
63,-5.114489,142.715535,0.878274,3590.704834
64,-5.197823,142.715535,0.87936,3622.835938
65,-5.281156,142.715535,0.885314,3628.44751
66,-5.364489,142.715535,0.900637,3600.828369
67,-5.447823,142.715535,0.879986,3569.769531
68,-5.531156,142.715535,0.87178,3560.177246
69,-5.614489,142.715535,0.824066,3576.859619
70,-5.697823,142.715535,0.847569,3606.057129
71,-5.781156,142.715535,0.853089,3613.862793
72,-5.864489,142.715535,0.857903,3597.267334
73,-5.947823,142.715535,0.86424,3587.837891
74,-6.031156,142.715535,0.851257,3604.847168
75,-6.114489,142.715535,0.869514,3649.682373
76,-6.197823,142.715535,0.866246,3694.382813
77,-6.281156,142.715535,0.871849,3705.116211
78,-6.364489,142.715535,0.864043,3705.218994
79,-6.447823,142.715535,0.861629,3749.564209
80,-6.531156,142.715535,0.8622,3849.431885
81,-6.614489,142.715535,0.90244,3972.718994
82,-6.697823,142.715535,0.907083,4062.479248
83,-6.781156,142.715535,0.864423,4074.255615
84,-5.114489,142.798868,0.885343,3564.367188
85,-5.197823,142.798868,0.879403,3610.677246
86,-5.281156,142.798868,0.891506,3617.036377
87,-5.364489,142.798868,0.841671,3575.040283
88,-5.447823,142.798868,0.878754,3528.031738
89,-5.531156,142.798868,0.85686,3515.099609
90,-5.614489,142.798868,0.851457,3542.992188
91,-5.697823,142.798868,0.880443,3590.894531
92,-5.781156,142.798868,0.883171,3603.827393
93,-5.864489,142.798868,0.873169,3570.833252
94,-5.947823,142.798868,0.862374,3548.668945
95,-6.031156,142.798868,0.836063,3566.268066
96,-6.114489,142.798868,0.84146,3622.621582
97,-6.197823,142.798868,0.894797,3682.580811
98,-6.281156,142.798868,0.888789,3695.457764
99,-6.364489,142.798868,0.894626,3685.982178
100,-6.447823,142.798868,0.872317,3725.538574
101,-6.531156,142.798868,0.867957,3829.452393
102,-6.614489,142.798868,0.883594,3959.229492
103,-6.697823,142.798868,0.916029,4055.495361
104,-6.781156,142.798868,0.888723,4069.155762
105,-6.781156,142.882202,0.902471,4027.067871
106,-6.697823,142.882202,0.849449,4002.00415
107,-6.614489,142.882202,0.819577,3923.253174
108,-6.531156,142.882202,0.866723,3801.335938
109,-6.447823,142.882202,0.862886,3697.327881
110,-6.364489,142.882202,0.890589,3643.58667
111,-6.281156,142.882202,0.900374,3630.132568
112,-6.197823,142.882202,0.870886,3604.65332
113,-6.114489,142.882202,0.8068,3547.505371
114,-6.031156,142.882202,0.836114,3499.575928
115,-5.947823,142.882202,0.861923,3482.820557
116,-5.864489,142.882202,0.858046,3498.56958
117,-5.781156,142.882202,0.859591,3504.425049
118,-5.697823,142.882202,0.854934,3499.119385
119,-5.614489,142.882202,0.823351,3465.210205
120,-5.531156,142.882202,0.839206,3446.886963
121,-5.447823,142.882202,0.827991,3461.369141
122,-5.364489,142.882202,0.803751,3492.056396
123,-5.281156,142.882202,0.862469,3532.540771
124,-5.197823,142.882202,0.884517,3531.438477
125,-5.114489,142.882202,0.879486,3498.131592
126,-5.114489,142.965535,0.8663,3394.226074
127,-5.20264,142.965535,0.873614,3402.299072
128,-5.281156,142.965535,0.878377,3397.982422
129,-5.364489,142.965535,0.893843,3377.578857
130,-5.447823,142.965535,0.867606,3351.726807
131,-5.531156,142.965535,0.80772,3349.311035
132,-5.614489,142.965535,0.845351,3342.726807
133,-5.697823,142.965535,0.851334,3344.947021
134,-5.781156,142.965535,0.834014,3343.993896
135,-5.864489,142.965535,0.820003,3374.205078
136,-5.947823,142.965535,0.864209,3381.103516
137,-6.031156,142.965535,0.894457,3399.190186
138,-6.114489,142.965535,0.89032,3432.676514
139,-6.197823,142.965535,0.857717,3465.761719
140,-6.281156,142.965535,0.880646,3501.840088
141,-6.364489,142.965535,0.910937,3555.478271
142,-6.447823,142.965535,0.877891,3646.767334
143,-6.531156,142.965535,0.893709,3783.399902
144,-6.614489,142.965535,0.85314,3903.960205
145,-6.697823,142.965535,0.86192,3991.355469
146,-6.781156,142.965535,0.874937,4031.411133
147,-6.781156,143.048868,0.876549,4141.563477
148,-6.697823,143.048868,0.876383,4088.05249
149,-6.614489,143.048868,0.863729,3953.896729
150,-6.531156,143.048868,0.893169,3774.529297
151,-6.447823,143.048868,0.881463,3575.540283
152,-6.364489,143.048868,0.897686,3421.317627
153,-6.281156,143.048868,0.877029,3319.194336
154,-6.197823,143.048868,0.881351,3286.06958
155,-6.114489,143.048868,0.877083,3291.263184
156,-6.031156,143.048868,0.860551,3289.713135
157,-5.947823,143.048868,0.818089,3237.619629
158,-5.864489,143.048868,0.843429,3197.79248
159,-5.781156,143.048868,0.868077,3167.089355
160,-5.697823,143.048868,0.833057,3173.319824
161,-5.614489,143.048868,0.833911,3208.775146
162,-5.531156,143.048868,0.719054,3215.15332
163,-5.447823,143.048868,0.763914,3251.839111
164,-5.364489,143.048868,0.843463,3264.088135
165,-5.281156,143.048868,0.887086,3266.265137
166,-5.197823,143.052469,0.872903,3266.501221
167,-5.114489,143.048868,0.8482,3287.570068
168,-5.197823,143.132202,0.86776,3176.773926
169,-5.281156,143.132202,0.879871,3168.935303
170,-5.364489,143.132202,0.859034,3178.392578
171,-5.447823,143.132202,0.7444,3170.021729
172,-5.531156,143.132202,0.746797,3117.072754
173,-5.614489,143.132202,0.737763,3040.633789
174,-5.697823,143.132202,0.726437,2985.388184
175,-5.781156,143.132202,0.817271,2971.572266
176,-5.864489,143.132202,0.849254,3044.846436
177,-5.947823,143.132202,0.810463,3125.021973
178,-6.031156,143.132202,0.861726,3183.490479
179,-6.114489,143.132202,0.861234,3145.449219
180,-6.197823,143.132202,0.874546,3072.643066
181,-6.281156,143.132202,0.882277,3081.424561
182,-6.364489,143.132202,0.864329,3244.466797
183,-6.447823,143.132202,0.908523,3505.049805
184,-6.531156,143.132202,0.903686,3792.763428
185,-6.614489,143.132202,0.861531,4076.081299
186,-6.697823,143.132202,0.869663,4295.37207
187,-6.781156,143.132202,0.820503,4350.472168
188,-6.781156,143.215535,0.859783,4532.43457
189,-6.697823,143.215535,0.867814,4489.331543
190,-6.614489,143.215535,0.904286,4190.990723
191,-6.531156,143.215535,0.894731,3813.341309
192,-6.447823,143.215535,0.903797,3442.625732
193,-6.364489,143.215535,0.8808,3101.945801
194,-6.281156,143.215535,0.865494,2885.793457
195,-6.197823,143.215535,0.883131,2906.838623
196,-6.114489,143.215535,0.85686,3031.9104
197,-6.031156,143.215535,0.830509,3091.969238
198,-5.947823,143.215535,0.800029,3053.480957
199,-5.864489,143.215535,0.794997,2942.084961
200,-5.781156,143.215535,0.742303,2835.42627
201,-5.697823,143.215535,0.704891,2852.131348
202,-5.614489,143.215535,0.730543,2951.669922
203,-5.531156,143.215535,0.73912,3049.99292
204,-5.447823,143.215535,0.840337,3118.796631
205,-5.364489,143.215535,0.844666,3136.895508
206,-5.281156,143.215535,0.880634,3130.00415
207,-5.197823,143.215535,0.858997,3134.390625
208,-5.114489,143.215535,0.7791,3145.612549
209,-5.197823,143.298868,0.829686,3121.379639
210,-5.281156,143.298868,0.850474,3120.973145
211,-5.364489,143.298868,0.834374,3101.008057
212,-5.447823,143.298868,0.804529,3055.279785
213,-5.531156,143.298868,0.889429,2992.611328
214,-5.614489,143.298868,0.80962,2915.089355
215,-5.697823,143.298868,0.805857,2845.275635
216,-5.781156,143.298868,0.732154,2839.536865
217,-5.864489,143.298868,0.845609,2911.648438
218,-5.947823,143.298868,0.733183,2994.711182
219,-6.031156,143.298868,0.834457,3066.681641
220,-6.114489,143.298868,0.801263,3020.651611
221,-6.197823,143.298868,0.867757,2915.769043
222,-6.281156,143.298868,0.844689,2904.213135
223,-6.364489,143.298868,0.857134,3108.678467
224,-6.447823,143.298868,0.89064,3415.241943
225,-6.531156,143.298868,0.88002,3778.599121
226,-6.614489,143.298868,0.88856,4157.30127
227,-6.697823,143.298868,0.889754,4460.212402
228,-6.781156,143.298868,0.849794,4507.714355
229,-6.781156,143.382202,0.856817,4291.91748
230,-6.697823,143.382202,0.894989,4230.321777
231,-6.614489,143.382202,0.866111,4010.859375
232,-6.531156,143.382202,0.866074,3728.899658
233,-6.447823,143.382202,0.873369,3448.365479
234,-6.364489,143.382202,0.853829,3215.83252
235,-6.281156,143.382202,0.826429,3068.715576
236,-6.197823,143.382202,0.801006,3033.674316
237,-6.114489,143.382202,0.824049,3068.372803
238,-6.031156,143.382202,0.820151,3026.926758
239,-5.947823,143.382202,0.735349,2984.969971
240,-5.864489,143.382202,0.75538,2919.587646
241,-5.781156,143.382202,0.750211,2885.942139
242,-5.697823,143.382202,0.895,2871.248779
243,-5.614489,143.382202,0.77342,2905.13501
244,-5.531156,143.382202,0.803954,2954.653076
245,-5.447823,143.382202,0.826326,3004.264893
246,-5.364489,143.382202,0.830374,3052.012939
247,-5.281156,143.382202,0.86662,3085.156006
248,-5.197823,143.382202,0.836377,3091.871338
249,-5.197823,143.465535,0.859611,3036.226563
250,-5.281156,143.465535,0.850643,3019.137939
251,-5.364489,143.465535,0.830749,2994.552734
252,-5.447823,143.465535,0.79524,2956.096191
253,-5.531156,143.465535,0.789114,2914.797852
254,-5.614489,143.465535,0.75142,2873.767822
255,-5.697823,143.465535,0.727314,2848.651855
256,-5.781156,143.465535,0.71068,2845.188965
257,-5.864489,143.465535,0.724774,2916.965088
258,-5.947823,143.465535,0.779517,2972.876953
259,-6.031156,143.465535,0.823429,3028.891357
260,-6.114489,143.465535,0.842377,3070.928955
261,-6.197823,143.465535,0.846454,3142.846924
262,-6.281156,143.465535,0.855177,3197.930664
263,-6.364489,143.465535,0.866549,3308.730469
264,-6.447823,143.465535,0.87488,3475.755615
265,-6.531156,143.465535,0.895029,3681.514893
266,-6.614489,143.465535,0.85608,3877.749512
267,-6.697823,143.465535,0.88852,4023.450195
268,-6.781156,143.465535,0.864483,4099.568848
269,-6.781156,143.548868,0.877731,4015.480957
270,-6.697823,143.548868,0.905409,3961.503418
271,-6.614489,143.548868,0.915989,3838.13208
272,-6.531156,143.548868,0.885737,3663.363037
273,-6.447823,143.548868,0.895711,3478.247803
274,-6.364489,143.548868,0.785786,3330.958496
275,-6.281156,143.548868,0.821189,3234.87793
276,-6.197823,143.548868,0.840011,3155.821777
277,-6.114489,143.548868,0.838731,3089.266602
278,-6.031156,143.548868,0.826831,3020.902832
279,-5.947823,143.548868,0.825,2936.343018
280,-5.864489,143.548868,0.718686,2812.624512
281,-5.781156,143.548868,0.812291,2754.681152
282,-5.697823,143.548868,0.796814,2759.033936
283,-5.614489,143.548868,0.789717,2802.719482
284,-5.531156,143.548868,0.78744,2853.562744
285,-5.447823,143.548868,0.738731,2905.645996
286,-5.364489,143.548868,0.789857,2940.654785
287,-5.281156,143.548868,0.834343,2958.883057
288,-5.197823,143.548868,0.849426,2968.685303
289,-5.114489,143.548868,0.84674,2983.027588
290,-5.114489,143.632202,0.809866,2959.426514
291,-5.197823,143.632202,0.813317,2929.742432
292,-5.281156,143.632202,0.800003,2920.151367
293,-5.364489,143.632202,0.738457,2910.105225
294,-5.447823,143.632202,0.796534,2871.003906
295,-5.531156,143.632202,0.798763,2799.001221
296,-5.614489,143.632202,0.771894,2698.826416
297,-5.697823,143.632202,0.726391,2612.888184
298,-5.781156,143.632202,0.808726,2608.727295
299,-5.864489,143.632202,0.701297,2704.446045
300,-5.947823,143.632202,0.851714,2862.241943
301,-6.031156,143.632202,0.818166,3007.063232
302,-6.114489,143.632202,0.79912,3102.955566
303,-6.197823,143.632202,0.835129,3154.663574
304,-6.281156,143.632202,0.831503,3200.172607
305,-6.364489,143.632202,0.846857,3294.532227
306,-6.447823,143.632202,0.863831,3460.166016
307,-6.531156,143.632202,0.862146,3671.733398
308,-6.614489,143.632202,0.903829,3885.739502
309,-6.697823,143.632202,0.894983,4043.978516
310,-6.781156,143.632202,0.873943,4086.469482
311,-6.781156,143.715535,0.891274,4193.258301
312,-6.697823,143.715535,0.874663,4163.155273
313,-6.614489,143.715535,0.872743,3954.570557
314,-6.531156,143.715535,0.815934,3687.609375
315,-6.447823,143.715535,0.856311,3426.347168
316,-6.364489,143.715535,0.865011,3238.42749
317,-6.281156,143.715535,0.832657,3142.149902
318,-6.197823,143.715535,0.832874,3137.30957
319,-6.114489,143.715535,0.863883,3110.107422
320,-6.031156,143.715535,0.818303,2990.234619
321,-5.947823,143.715535,0.81502,2823.875488
322,-5.864489,143.715535,0.728734,2619.217773
323,-5.781156,143.715535,0.800054,2463.14502
324,-5.697823,143.715535,0.85036,2483.313721
325,-5.614489,143.715535,0.8023,2623.333252
326,-5.531156,143.715535,0.841026,2760.429688
327,-5.447823,143.715535,0.776929,2852.276123
328,-5.364489,143.715535,0.796429,2900.289795
329,-5.281156,143.715535,0.874063,2910.203613
330,-5.197823,143.715535,0.866423,2915.75293
331,-5.114489,143.715535,0.874737,2940.013916
332,-5.114489,143.798868,0.91372,2924.119385
333,-5.197823,143.798868,0.90052,2910.844482
334,-5.281156,143.798868,0.845549,2906.905762
335,-5.364489,143.798868,0.840289,2876.287598
336,-5.447823,143.798868,0.8195,2811.105225
337,-5.531156,143.798868,0.797006,2718.055908
338,-5.614489,143.798868,0.804077,2598.85498
339,-5.697823,143.798868,0.804591,2489.015869
340,-5.781156,143.798868,0.73296,2475.612061
341,-5.864489,143.798868,0.842629,2601.999023
342,-5.947823,143.798868,0.820277,2781.10376
343,-6.031156,143.798868,0.732351,2993.057373
344,-6.114489,143.798868,0.857491,3098.845459
345,-6.197823,143.798868,0.8761,3137.035889
346,-6.281156,143.798868,0.851174,3148.199707
347,-6.364489,143.798868,0.839811,3239.509277
348,-6.447823,143.798868,0.859309,3415.718994
349,-6.531156,143.798868,0.870114,3659.789551
350,-6.614489,143.798868,0.847926,3924.303223
351,-6.697823,143.798868,0.879371,4140.094238
352,-6.781156,143.798868,0.89088,4174.176758
353,-6.781156,143.882202,0.879166,4011.93335
354,-6.697823,143.882202,0.877497,3968.29541
355,-6.614489,143.882202,0.885123,3812.599854
356,-6.531156,143.882202,0.874543,3619.144531
357,-6.447823,143.882202,0.830506,3406.104736
358,-6.364489,143.882202,0.824771,3271.230713
359,-6.281156,143.882202,0.824429,3191.544434
360,-6.197823,143.882202,0.857946,3144.640137
361,-6.114489,143.882202,0.847323,3100.153809
362,-6.031156,143.882202,0.600657,2938.558105
363,-5.947823,143.882202,0.829603,2803.575684
364,-5.864489,143.882202,0.834226,2660.677734
365,-5.781156,143.882202,0.85182,2583.060547
366,-5.697823,143.882202,0.798217,2580.108887
367,-5.614489,143.882202,0.748783,2644.623047
368,-5.531156,143.882202,0.814149,2727.554443
369,-5.447823,143.882202,0.827583,2801.816406
370,-5.364489,143.882202,0.829157,2869.326416
371,-5.281156,143.882202,0.824266,2897.351563
372,-5.197823,143.882202,0.899257,2911.132813
373,-5.114489,143.882202,0.84334,2931.861816
374,-5.031156,143.882202,0.8826,2954.886963
375,-5.031156,143.965535,0.852589,2974.215088
376,-5.114489,143.965535,0.815983,2930.550293
377,-5.197823,143.965535,0.836249,2917.701172
378,-5.281156,143.965535,0.862311,2893.827393
379,-5.364489,143.965535,0.837471,2861.235596
380,-5.447823,143.965535,0.800803,2810.830566
381,-5.531156,143.965535,0.8984,2733.878418
382,-5.614489,143.965535,0.825309,2674.674316
383,-5.697823,143.965535,0.8406,2628.419434
384,-5.781156,143.965535,0.843849,2633.10083
385,-5.864489,143.965535,0.738103,2723.930176
386,-5.947823,143.965535,0.721734,2829.534424
387,-6.031156,143.965535,0.637786,2949.935303
388,-6.114489,143.965535,0.823766,3059.432861
389,-6.197823,143.965535,0.720794,3185.394287
390,-6.281156,143.965535,0.730857,3245.536621
391,-6.364489,143.965535,0.867814,3316.933105
392,-6.447823,143.965535,0.821137,3415.644287
393,-6.531156,143.965535,0.817446,3542.998047
394,-6.614489,143.965535,0.837974,3672.290039
395,-6.697823,143.965535,0.875691,3798.671143
396,-6.781156,143.965535,0.830486,3839.624023
397,-6.781156,144.048868,0.855429,3722.229736
398,-6.697823,144.048868,0.83294,3690.476807
399,-6.614489,144.048868,0.853029,3619.91748
400,-6.531156,144.048868,0.852991,3520.048584
401,-6.447823,144.048868,0.781206,3422.958252
402,-6.364489,144.048868,0.850897,3354.90625
403,-6.281156,144.048868,0.859394,3307.356934
404,-6.197823,144.048868,0.741894,3215.907227
405,-6.114489,144.048868,0.795794,3103.521729
406,-6.031156,144.048868,0.814417,2967.798584
407,-5.947823,144.048868,0.762477,2826.959961
408,-5.864489,144.048868,0.777771,2683.142822
409,-5.781156,144.048868,0.741766,2607.150635
410,-5.697823,144.048868,0.756434,2611.845947
411,-5.614489,144.048868,0.857671,2655.691895
412,-5.531156,144.048868,0.83816,2723.353271
413,-5.447823,144.048868,0.833749,2810.280029
414,-5.364489,144.048868,0.8787,2865.88916
415,-5.281156,144.048868,0.86068,2901.672119
416,-5.197823,144.048868,0.876486,2927.714111
417,-5.114489,144.048868,0.8553,2950.969482
418,-5.031156,144.048868,0.894657,2993.0271
419,-4.947823,144.132202,0.830503,3096.459961
420,-5.031156,144.132202,0.881137,3013.351563
421,-5.114489,144.132202,0.869317,2956.842529
422,-5.197823,144.132202,0.862943,2936.053711
423,-5.281156,144.132202,0.859,2916.588379
424,-5.364489,144.132202,0.88276,2881.710693
425,-5.447823,144.132202,0.858237,2813.19751
426,-5.531156,144.132202,0.845786,2701.313965
427,-5.614489,144.132202,0.803394,2595.935303
428,-5.697823,144.132202,0.765551,2510.337158
429,-5.781156,144.132202,0.742374,2506.413086
430,-5.864489,144.132202,0.778606,2606.297852
431,-5.947823,144.132202,0.866743,2803.599854
432,-6.031156,144.132202,0.838906,2988.499268
433,-6.114489,144.132202,0.842629,3192.592285
434,-6.197823,144.132202,0.827223,3328.165771
435,-6.281156,144.132202,0.856343,3390.582764
436,-6.364489,144.132202,0.805097,3392.682373
437,-6.447823,144.132202,0.79368,3430.210205
438,-6.531156,144.132202,0.861829,3515.625732
439,-6.614489,144.132202,0.855571,3626.47168
440,-6.697823,144.132202,0.83184,3715.331787
441,-6.781156,144.132202,0.794823,3739.387695
442,-6.781156,144.215535,0.895494,3800.862305
443,-6.697823,144.215535,0.83908,3782.195801
444,-6.614489,144.215535,0.844291,3655.933105
445,-6.531156,144.215535,0.873031,3514.804443
446,-6.447823,144.215535,0.849286,3414.478027
447,-6.364489,144.215535,0.813389,3412.677979
448,-6.281156,144.215535,0.848794,3467.528809
449,-6.197823,144.215535,0.883629,3437.084961
450,-6.114489,144.215535,0.89848,3259.191406
451,-6.031156,144.215535,0.869631,3022.869141
452,-5.947823,144.215535,0.830211,2779.200684
453,-5.864489,144.215535,0.748174,2535.549072
454,-5.781156,144.215535,0.741034,2380.987549
455,-5.697823,144.215535,0.743289,2397.63208
456,-5.614489,144.215535,0.78824,2541.078369
457,-5.531156,144.215535,0.793774,2692.309082
458,-5.447823,144.215535,0.880726,2817.822266
459,-5.364489,144.215535,0.850191,2898.553223
460,-5.281156,144.215535,0.879203,2929.001953
461,-5.197823,144.215535,0.871231,2933.978271
462,-5.114489,144.215535,0.899234,2961.282959
463,-5.031156,144.215535,0.887277,3030.244141
464,-4.947823,144.215535,0.871257,3126.787109
465,-4.864489,144.215535,0.878609,3233.594971
466,-4.864489,144.298868,0.866277,3234.4729
467,-4.947823,144.298868,0.881737,3136.998047
468,-5.031156,144.298868,0.865946,3044.049805
469,-5.114489,144.298868,0.912531,2971.557617
470,-5.197823,144.298868,0.87582,2935.755127
471,-5.281156,144.298868,0.860143,2928.987793
472,-5.364489,144.298868,0.87182,2896.769531
473,-5.447823,144.298868,0.879834,2824.924805
474,-5.531156,144.298868,0.859663,2688.397949
475,-5.614489,144.298868,0.8038,2541.764648
476,-5.697823,144.298868,0.770603,2411.813721
477,-5.781156,144.298868,0.762646,2394.523193
478,-5.864489,144.298868,0.815343,2529.454834
479,-5.947823,144.298868,0.853603,2740.353027
480,-6.031156,144.298868,0.910026,3008.504883
481,-6.114489,144.298868,0.924057,3232.459717
482,-6.197823,144.298868,0.882654,3419.194824
483,-6.281156,144.298868,0.889874,3451.334717
484,-6.364489,144.298868,0.867746,3376.111816
485,-6.447823,144.298868,0.877594,3357.482422
486,-6.531156,144.298868,0.8842,3469.40332
487,-6.614489,144.298868,0.875546,3619.074463
488,-6.697823,144.298868,0.892183,3761.557129
489,-6.697823,144.382202,0.855623,3622.535889
490,-6.614489,144.382202,0.901686,3515.511719
491,-6.531156,144.382202,0.883211,3398.86499
492,-6.447823,144.382202,0.893943,3289.446777
493,-6.364489,144.382202,0.891314,3278.729004
494,-6.281156,144.382202,0.888831,3296.572021
495,-6.197823,144.382202,0.885403,3251.536621
496,-6.114489,144.382202,0.91066,3122.108154
497,-6.031156,144.382202,0.841143,2900.481201
498,-5.947823,144.382202,0.844429,2727.237061
499,-5.864489,144.382202,0.7869,2574.471436
500,-5.781156,144.382202,0.793769,2496.521973
501,-5.697823,144.382202,0.794931,2513.505127
502,-5.614489,144.382202,0.810826,2596.390625
